Giocatore,Ruolo,Squadra,Avversario,FV_raw,Fantavoto,Titolare%,EV,Disp,Res
Maignan,P,Milan,@ Sassuolo,4.835,4.99,100,4.99,True,0.174
Falcone,P,Lecce,vs Bologna,4.503,4.51,100,4.51,True,-0.223
Torriani,P,Milan,@ Sassuolo,4.863,5.02,0,4.69,True,0.174
Mancini,D,Roma,@ Como,6.314,6.27,100,6.27,True,-0.014
Ramon,D,Como,vs Roma,6.544,6.51,100,6.51,True,0.014
Lucumì,D,Juventus,@ Cagliari,6.277,6.4,67,6.35,True,0.43
Wesley,D,Roma,@ Como,6.331,6.29,70,6.28,True,-0.014
Miranda J.,D,Bologna,@ Lecce,6.437,6.48,76,6.43,True,0.223
Diego Carlos,D,Parma,@ Inter,6.11,5.79,56,6.0,True,-0.749
Badiashile,D,Napoli,vs Frosinone,6.262,6.39,10,6.27,True,0.448
Gabbia,D,Milan,@ Sassuolo,6.242,6.27,19,6.26,True,0.174
Conceicao,C,Juventus,@ Cagliari,6.916,7.37,100,7.37,True,0.43
Alajbegovic,C,Juventus,@ Cagliari,6.197,6.66,69,6.66,True,0.43
Cristante,C,Roma,@ Como,6.265,6.56,100,6.56,True,-0.014
Lobotka,C,Napoli,vs Frosinone,6.249,6.71,95,6.71,True,0.448
Pulisic,C,Milan,@ Sassuolo,6.976,7.34,40,6.93,True,0.174
Liberali,C,Como,vs Roma,6.037,6.34,12,6.62,True,0.014
Bernabè,C,Parma,@ Inter,6.12,6.14,33,6.48,True,-0.749
Orsolini,C,Bologna,@ Lecce,6.391,6.77,27,6.69,False,0.223
Laurientè,A,Sassuolo,vs AC Milan,6.691,6.8,100,6.8,True,-0.174
Hojlund,A,Napoli,vs Frosinone,7.414,7.75,83,7.67,True,0.448
De Ketelaere,A,Atalanta,vs Venezia,7.108,7.4,80,7.36,True,0.304
Maldini,A,Cagliari,vs Juventus,6.616,6.63,91,6.68,True,-0.43
Stulic,A,Lecce,vs Bologna,6.544,6.64,63,6.85,True,-0.223
Yildiz,A,Juventus,@ Cagliari,6.806,7.14,11,7.22,False,0.43
