Giocatore,Ruolo,Squadra,Avversario,FV_raw,Fantavoto,Titolare%,EV,Disp,Res
Maignan,P,Milan,vs Lecce,4.953,5.02,100,5.02,True,0.448
Falcone,P,Lecce,@ AC Milan,3.719,3.65,100,3.65,True,-0.448
Torriani,P,Milan,vs Lecce,4.981,5.05,0,4.6,True,0.448
Mancini,D,Roma,vs Inter,6.443,6.47,100,6.47,True,0.19
Ramon,D,Como,@ Frosinone,6.767,6.82,100,6.82,True,0.334
Lucumì,D,Juventus,vs Atalanta,6.27,6.35,50,6.32,True,0.537
Wesley,D,Roma,vs Inter,6.377,6.41,62,6.36,True,0.19
Miranda J.,D,Bologna,vs Torino,6.401,6.44,70,6.39,True,0.247
Diego Carlos,D,Parma,vs Genoa,6.28,6.27,40,6.28,True,-0.102
Badiashile,D,Napoli,@ Fiorentina,6.187,6.2,18,6.28,True,0.081
Gabbia,D,Milan,vs Lecce,6.292,6.36,32,6.31,True,0.448
Conceicao,C,Juventus,vs Atalanta,6.979,7.06,100,7.06,True,0.537
Alajbegovic,C,Juventus,vs Atalanta,6.29,6.37,84,6.37,True,0.537
Cristante,C,Roma,vs Inter,6.341,6.37,100,6.37,True,0.19
Lobotka,C,Napoli,@ Fiorentina,6.219,6.23,93,6.24,True,0.081
Pulisic,C,Milan,vs Lecce,6.742,6.81,19,6.44,True,0.448
Liberali,C,Como,@ Frosinone,6.055,6.11,18,6.31,True,0.334
Bernabè,C,Parma,vs Genoa,6.203,6.19,42,6.28,True,-0.102
Orsolini,C,Bologna,vs Torino,6.476,6.51,24,6.39,False,0.247
Laurientè,A,Sassuolo,@ Monza,6.803,6.75,100,6.75,True,-0.339
Hojlund,A,Napoli,@ Fiorentina,6.989,7.0,100,7.0,True,0.081
De Ketelaere,A,Atalanta,@ Juventus,6.344,6.26,75,6.46,True,-0.537
Maldini,A,Cagliari,@ Udinese,7.068,7.06,80,7.06,True,-0.041
Stulic,A,Lecce,@ AC Milan,6.594,6.53,70,6.69,True,-0.448
Yildiz,A,Juventus,vs Atalanta,7.041,7.12,22,7.07,False,0.537
